Title,Company,Location,Is_Remote,Rating,Salary,salary_low,salary_high,salary_avg,experience_level,tech_keywords,clean_location
Software Engineer I,ACT3.5,Remote,True,3.5,$70K - $85K(Employer est.),70000.0,85000.0,77500.0,Entry,Other,Remote
Software Development Engineer III,American Express Global Business Travel4.1,"Bellevue, WA",False,4.1,$137K - $203K(Employer est.),137000.0,203000.0,170000.0,Senior,Other,Bellevue
Software Development Engineer in Test,Industrial Scientific3.3,"Pittsburgh, PA",False,3.3,$62K - $116K(Employer est.),62000.0,116000.0,89000.0,Entry,Other,Pittsburgh
Software Engineer 5- TV Client Foundations,Netflix4.2,Remote,True,4.2,$100K - $700K(Employer est.),100000.0,700000.0,400000.0,Entry,Other,Remote
Steam Software Engineer,Valve Software4.6,"Bellevue, WA",False,4.6,$133K - $189K(Glassdoor est.),133000.0,189000.0,161000.0,Entry,Other,Bellevue
Software Engineer (Hybrid),Sumitomo Mitsui Banking Corporation3.7,"Scottsdale, AZ",False,3.7,$85K - $170K(Employer est.),85000.0,170000.0,127500.0,Entry,Other,Scottsdale
Software Engineer,ClientServer Technology Solutions1.0,"Iselin, NJ",False,1.0,$74K - $119K(Glassdoor est.),74000.0,119000.0,96500.0,Entry,Other,Iselin
(1025) Senior Software Python Engineer,Nearsure4.1,Remote,True,4.1,Not Disclosed,,,,Senior,Python,Remote
Fullstack Software Engineer | Fully Remote,Apporto4.7,United States,False,4.7,$80K - $95K(Employer est.),80000.0,95000.0,87500.0,Entry,Other,Remote
Full Stack Developer,Diagonal Matrix Ltd3.8,Remote,True,3.8,$150K - $190K(Employer est.),150000.0,190000.0,170000.0,Not Specified,Full Stack,Remote
Associate Application Developer (Hybrid),Selective Insurance Company of America3.4,"Hartford, CT",False,3.4,$60K - $83K(Employer est.),60000.0,83000.0,71500.0,Entry,Other,Hartford
Software Engineer,S.M.A.R.T.,"Phoenix, AZ",False,3.9,$70K - $120K(Employer est.),70000.0,120000.0,95000.0,Entry,Other,Phoenix
"Associate Software Engineer, Full Stack - Remote",Crum & Forster4.3,"Glastonbury, CT",False,4.3,$51K - $95K(Employer est.),51000.0,95000.0,73000.0,Entry,Full Stack,Glastonbury
"Software Engineer I (AWS, React, GenAI)","The Travelers Companies, Inc.4.2","Hartford, CT",False,4.2,$96K - $159K(Employer est.),96000.0,159000.0,127500.0,Entry,Other,Hartford
Software Quality Engineer,"Vizient, Inc.3.4","Irving, TX",False,3.4,$77K - $135K(Employer est.),77000.0,135000.0,106000.0,Entry,Other,Irving
Full-Stack Engineer,Accrete.AI4.5,"New York, NY",False,4.5,$140K - $180K(Employer est.),140000.0,180000.0,160000.0,Entry,Other,New York
(1028) Software Python/JS Engineer,Nearsure4.1,Remote,True,4.1,Not Disclosed,,,,Mid,Python,Remote
Software Engineer,ICF3.6,"Portland, OR",False,3.6,$81K - $138K(Employer est.),81000.0,138000.0,109500.0,Entry,Other,Portland
Software Engineer II - Java,Mastercard4.2,"Atlanta, GA",False,4.2,$92K - $147K(Employer est.),92000.0,147000.0,119500.0,Entry,Java,Atlanta
Full Stack Developer,Abbott Laboratories3.8,"Abbott Park, IL",False,3.8,$60K - $120K(Employer est.),60000.0,120000.0,90000.0,Not Specified,Full Stack,Abbott Park
Software Engineer - Web (Hybrid),Sumitomo Mitsui Banking Corporation3.7,"Scottsdale, AZ",False,3.7,$85K - $170K(Employer est.),85000.0,170000.0,127500.0,Entry,Other,Scottsdale
"Software Engineer (L5), Content Engineering",Netflix4.2,Remote,True,4.2,$170K - $720K(Employer est.),170000.0,720000.0,445000.0,Entry,Other,Remote
Software Engineer II/III,Weyerhaeuser3.6,"Centennial, CO",False,3.6,$81K - $146K(Employer est.),81000.0,146000.0,113500.0,Senior,Other,Centennial
Embedded Software Engineer,Technosoft Engineering Projects4.0,"Byron, NY",False,4.0,$94K - $98K(Employer est.),94000.0,98000.0,96000.0,Entry,Other,Byron
Software Developer I,HCSS4.1,"Houston, TX",False,4.1,$60K - $83K(Glassdoor est.),60000.0,83000.0,71500.0,Entry,Other,Houston
Software Engineer II,LegalZoom3.5,"Los Angeles, CA",False,3.5,$93K - $155K(Employer est.),93000.0,155000.0,124000.0,Mid,Other,Los Angeles
Software Engineer I,TopBloc3.9,"Chicago, IL",False,3.9,$65K - $75K(Employer est.),65000.0,75000.0,70000.0,Entry,Other,Chicago
Software Engineer,California Institute of Technology4.2,"Pasadena, CA",False,4.2,$109K - $130K(Employer est.),109000.0,130000.0,119500.0,Entry,Other,Pasadena
Python Developer,Diagonal Matrix Ltd3.8,Remote,True,3.8,$150K - $190K(Employer est.),150000.0,190000.0,170000.0,Not Specified,Python,Remote
Software Engineer,Opus IVS3.6,"Mesa, AZ",False,3.6,$80K - $100K(Employer est.),80000.0,100000.0,90000.0,Entry,Other,Mesa
Software Engineer II,RentSpree4.1,"Seattle, WA",False,4.1,$111K - $144K(Glassdoor est.),111000.0,144000.0,127500.0,Mid,Other,Seattle
Senior Full-Stack Engineer,Greenlight4.4,"Atlanta, GA",False,4.4,$142K - $185K(Employer est.),142000.0,185000.0,163500.0,Senior,Other,Atlanta
Front End Software Developer,NeueHealth2.5,Remote,True,2.5,Not Disclosed,,,,Not Specified,Frontend,Remote
Software Engineer 2,"Computer Services, Inc.3.4",Remote,True,3.4,Not Disclosed,,,,Mid,Other,Remote
Software Engineer,KesarWeb1.0,"California City, CA",False,1.0,$70K - $100K(Employer est.),70000.0,100000.0,85000.0,Entry,Other,California City
Software Engineer,R2 Technologies Corporation4.6,"Alpharetta, GA",False,4.6,$75.00 - $80.00 Per Hour(Employer est.),156000.0,166400.0,161200.0,Entry,Other,Alpharetta
Software Engineer II,Digi International Inc.3.5,"Plano, TX",False,3.5,$128K - $130K(Employer est.),128000.0,130000.0,129000.0,Mid,Other,Plano
AI Software Engineer,Zoom3.5,"Seattle, WA",False,3.5,$143K - $313K(Employer est.),143000.0,313000.0,228000.0,Entry,Other,Seattle
Software Engineer 4,Asurion3.3,"Nashville, TN",False,3.3,Not Disclosed,,,,Entry,Other,Nashville
Full Stack Software Engineer,LIGHTFEATHER IO LLC4.0,Remote,True,4.0,Not Disclosed,,,,Entry,Full Stack,Remote
"Software Engineer, Inventory",Stitch Fix3.1,Remote,True,3.1,$103K - $152K(Employer est.),103000.0,152000.0,127500.0,Entry,Other,Remote
Software Engineer 3,Asurion3.3,Remote,True,3.3,Not Disclosed,,,,Senior,Other,Remote
Front End Software Engineer (GraphQL),Credit Karma4.1,"Charlotte, NC",False,4.1,$199K - $217K(Employer est.),199000.0,217000.0,208000.0,Entry,Frontend,Charlotte
Software Engineer,BVA Bear's IT Solutions,"Boiling Springs, PA",False,3.9,Not Disclosed,,,,Entry,Other,Boiling Springs
Associate Software Engineer,StockX3.5,"Detroit, MI",False,3.5,$80K - $100K(Employer est.),80000.0,100000.0,90000.0,Entry,Other,Detroit
Jr Software Developer,Orion1802.9,"Melbourne, FL",False,2.9,$65K - $102K(Glassdoor est.),65000.0,102000.0,83500.0,Not Specified,Other,Melbourne
Software Engineer I- Connect with a Vet,Chewy3.4,"Boston, MA",False,3.4,Not Disclosed,,,,Entry,Other,Boston
"Fullstack Engineer, Monetization",LaunchDarkly3.6,"Oakland, CA",False,3.6,$142K - $210K(Employer est.),142000.0,210000.0,176000.0,Entry,Other,Oakland
Software Engineer,Kizen4.0,"Austin, TX",False,4.0,$110K - $130K(Employer est.),110000.0,130000.0,120000.0,Entry,Other,Austin
Software Engineer II,WALGREENS3.1,"Deerfield, IL",False,3.1,$99K - $158K(Employer est.),99000.0,158000.0,128500.0,Mid,Other,Deerfield
Software Engineer - Early Careers,Sprocket Security,"Madison, WI",False,3.9,$104K - $162K(Glassdoor est.),104000.0,162000.0,133000.0,Entry,Other,Madison
Software Engineer – Enterprise Applications,Qualcomm3.9,"San Diego, CA",False,3.9,$94K - $141K(Employer est.),94000.0,141000.0,117500.0,Entry,Other,San Diego
Associate Software Engineer,Disney3.9,"Seattle, WA",False,3.9,$109K - $137K(Glassdoor est.),109000.0,137000.0,123000.0,Entry,Other,Seattle
Software Engineer,SS&C3.1,"Boston, MA",False,3.1,Not Disclosed,,,,Entry,Other,Boston
Software Development Engineer in Test (SDET),ARROWMINDS INC,"Atlanta, GA",False,3.9,$40.00 - $45.00 Per Hour(Employer est.),83200.0,93600.0,88400.0,Entry,Other,Atlanta
Jr. Software Developer,Nova Dynamics4.0,"Philomath, OR",False,4.0,$85K(Employer est.),85000.0,85000.0,85000.0,Not Specified,Other,Philomath
CPE BP Software Engineer,Motorola Solutions4.3,"Plantation, FL",False,4.3,$57K - $105K(Employer est.),57000.0,105000.0,81000.0,Entry,Other,Plantation
Software Engineer,JPMorganChase4.0,"Plano, TX",False,4.0,$85K - $117K(Glassdoor est.),85000.0,117000.0,101000.0,Entry,Other,Plano
Software Development Engineer,Fortinet3.9,"Sunnyvale, CA",False,3.9,$100K - $145K(Employer est.),100000.0,145000.0,122500.0,Entry,Other,Sunnyvale
Software Engineer I - SDK,AGS LLC4.4,"Duluth, GA",False,4.4,$74K - $99K(Glassdoor est.),74000.0,99000.0,86500.0,Entry,Other,Duluth
"Engineer II, Software Dev.","Liquidity Services, Inc.3.7",Remote,True,3.7,$79K - $99K(Employer est.),79000.0,99000.0,89000.0,Mid,Other,Remote
"Backend Software Engineer - Digital Banking, Payments",Amex4.1,"Phoenix, AZ",False,4.1,$85K - $150K(Employer est.),85000.0,150000.0,117500.0,Entry,Backend,Phoenix
Software Engineer (Java),IntraFi Network4.9,"Arlington, VA",False,4.9,$120K(Employer est.),120000.0,120000.0,120000.0,Entry,Java,Arlington
"Software Engineer, Language Biomarker Lab - Emory College of Arts and Sciences",Emory University4.2,"Atlanta, GA",False,4.2,Not Disclosed,,,,Entry,Other,Atlanta
Software Engineer,Microsoft4.2,United States,False,4.2,$82K - $175K(Employer est.),82000.0,175000.0,128500.0,Entry,Other,Remote
Software Engineer III-Full Stack/React,JPMorganChase4.0,"Jersey City, NJ",False,4.0,$133K - $185K(Employer est.),133000.0,185000.0,159000.0,Senior,Full Stack,Jersey City
"Software Engineer, Product Team",Capvision3.1,"New York, NY",False,3.1,$100K - $150K(Employer est.),100000.0,150000.0,125000.0,Entry,Other,New York
Software Engineer-Data Quality Engineering-Associate,BlackRock Investments3.9,"Wilmington, DE",False,3.9,$110K - $138K(Employer est.),110000.0,138000.0,124000.0,Entry,Data,Wilmington
Software Engineer II,Granges Americas3.6,"Franklin, TN",False,3.6,$87K - $113K(Glassdoor est.),87000.0,113000.0,100000.0,Mid,Other,Franklin
Sr. Software Engineer,"Aldridge Pite, LLP2.9","Honolulu, HI",False,2.9,Not Disclosed,,,,Senior,Other,Honolulu
Frontend Software Engineer,Signal Advisors4.4,"Detroit, MI",False,4.4,$73K - $104K(Glassdoor est.),73000.0,104000.0,88500.0,Entry,Frontend,Detroit
Senior Software Engineer,LightBox Employer L L C3.2,Remote,True,3.2,$150K - $175K(Employer est.),150000.0,175000.0,162500.0,Senior,Other,Remote
Software Engineer III,Bank of America3.9,"Plano, TX",False,3.9,$116K - $138K(Glassdoor est.),116000.0,138000.0,127000.0,Senior,Other,Plano
Software Engineer II,Mastercard4.2,"O Fallon, MO",False,4.2,$92K - $147K(Employer est.),92000.0,147000.0,119500.0,Mid,Other,O Fallon
Software Engineer,"Red Hat, Inc.4.2","Boston, MA",False,4.2,$104K - $166K(Employer est.),104000.0,166000.0,135000.0,Entry,Other,Boston
Associate Software Engineer (Student Developer),NICE Systems4.3,"Sandy, UT",False,4.3,Not Disclosed,,,,Entry,Other,Sandy
Software Engineer - Platform,Oumi,"Palo Alto, CA",False,3.9,$140K - $220K(Employer est.),140000.0,220000.0,180000.0,Entry,Other,Palo Alto
Software Engineer,33rd Talent Corporation,"Denver, CO",False,3.9,$95K - $115K(Employer est.),95000.0,115000.0,105000.0,Entry,Other,Denver
Associate Full Stack Developer,Villanova University4.5,"Villanova, PA",False,4.5,$52K - $80K(Glassdoor est.),52000.0,80000.0,66000.0,Entry,Full Stack,Villanova
Senior Software Engineer I,DigitalOcean3.8,"Austin, TX",False,3.8,$120K - $143K(Employer est.),120000.0,143000.0,131500.0,Senior,Other,Austin
Software Engineer,DocuSign3.6,"Seattle, WA",False,3.6,$134K - $198K(Employer est.),134000.0,198000.0,166000.0,Entry,Other,Seattle
Software Engineer,"Click to Fill, Inc","Tampa, FL",False,3.9,Not Disclosed,,,,Entry,Other,Tampa
Software Engineer,Fusion Health3.9,"Woodbridge, NJ",False,3.9,$80K - $113K(Glassdoor est.),80000.0,113000.0,96500.0,Entry,Other,Woodbridge
Full Stack Engineer-an AI startup,Intellipro Group Inc.4.1,"Palo Alto, CA",False,4.1,$140K - $170K(Employer est.),140000.0,170000.0,155000.0,Entry,Full Stack,Palo Alto
"Software Engineer, Microcontroller",EDAG Inc3.6,"Detroit, MI",False,3.6,$70K - $110K(Glassdoor est.),70000.0,110000.0,90000.0,Entry,Other,Detroit
Front-end Engineer,Piper Companies4.0,"Merrimack, NH",False,4.0,$45.00 - $55.00 Per Hour(Employer est.),93600.0,114400.0,104000.0,Entry,Other,Merrimack
Software Engineer II,Microsoft4.2,"Redmond, WA",False,4.2,$98K - $209K(Employer est.),98000.0,209000.0,153500.0,Mid,Other,Redmond
Senior Software Engineer,Eastern Bank3.3,"Lynn, MA",False,3.3,$104K - $152K(Glassdoor est.),104000.0,152000.0,128000.0,Senior,Other,Lynn
Entry Level Software Developer,Reynolds and Reynolds3.4,"Houston, TX",False,3.4,$58K - $89K(Glassdoor est.),58000.0,89000.0,73500.0,Entry,Other,Houston
Back-end Java & AWS Software Engineer III,JPMorganChase4.0,"New York, NY",False,4.0,$133K - $185K(Employer est.),133000.0,185000.0,159000.0,Senior,Java,New York
Software Engineer,Mochi Health3.6,"San Francisco, CA",False,3.6,$140K - $400K(Employer est.),140000.0,400000.0,270000.0,Entry,Other,San Francisco
"Software Engineer, Web",Calm3.1,"Los Angeles, CA",False,3.1,$147K - $225K(Employer est.),147000.0,225000.0,186000.0,Entry,Other,Los Angeles
Software Engineer – Java Developer I (1356),Strategic Systems Inc4.6,"Cincinnati, OH",False,4.6,$82K - $120K(Glassdoor est.),82000.0,120000.0,101000.0,Entry,Java,Cincinnati
"Junior Web Developer (Canton, MI)","Automated Media, Inc5.0","Cleveland, OH",False,5.0,$25.00 - $34.62 Per Hour(Employer est.),52000.0,72009.59999999999,62004.799999999996,Entry,Other,Cleveland
Software Engineer,Blue Yonder3.9,"Dallas, TX",False,3.9,$63K - $108K(Employer est.),63000.0,108000.0,85500.0,Entry,Other,Dallas
Software Engineer,"HOJ INNOVATIONS, INC4.2","Salt Lake City, UT",False,4.2,$75K - $90K(Employer est.),75000.0,90000.0,82500.0,Entry,Other,Salt Lake City
"Software Engineer II, Employee Experience - Seattle",Qualtrics3.5,"Seattle, WA",False,3.5,$116K - $219K(Employer est.),116000.0,219000.0,167500.0,Mid,Other,Seattle
Apprentice Software Engineer (EX),VSP Global3.3,Remote,True,3.3,$59K - $80K(Employer est.),59000.0,80000.0,69500.0,Entry,Other,Remote
Sr. Software Engineer - Backend,Lyra Health3.6,Remote,True,3.6,$142K - $196K(Employer est.),142000.0,196000.0,169000.0,Senior,Backend,Remote
Software Engineer 1,"Garmin International, Inc.3.8","Olathe, KS",False,3.8,Not Disclosed,,,,Entry,Other,Olathe
Software Engineer - Cloud Observability,Amex4.1,"Phoenix, AZ",False,4.1,$70K - $135K(Employer est.),70000.0,135000.0,102500.0,Entry,Cloud,Phoenix
Android Software Engineer,eBay3.9,"Portland, OR",False,3.9,$95K - $169K(Employer est.),95000.0,169000.0,132000.0,Entry,Other,Portland
JavaScript Software Development Engineer 4,Adobe4.2,"Lehi, UT",False,4.2,$134K - $242K(Employer est.),134000.0,242000.0,188000.0,Entry,Java,Lehi
Software Development Co-op (Fall 2025),Emerson3.9,"Elyria, OH",False,3.9,$47K - $84K(Glassdoor est.),47000.0,84000.0,65500.0,Mid,Other,Elyria
Software Engineer (2025 Graduates),Appian Corporation3.5,"McLean, VA",False,3.5,Not Disclosed,,,,Mid,Other,McLean
Software Engineer I - Integrations,Flywire3.8,"Boston, MA",False,3.8,Not Disclosed,,,,Entry,Other,Boston
Software Engineer,In-Depth Engineering Corporation4.0,"Mount Laurel, NJ",False,4.0,$90K - $175K(Employer est.),90000.0,175000.0,132500.0,Entry,Other,Mount Laurel
Software Engineer,Lithium Auto Elixirs,"Sandy, UT",False,3.9,$25.00 - $35.00 Per Hour(Employer est.),52000.0,72800.0,62400.0,Entry,Other,Sandy
"Backend Engineer, Observability",LaunchDarkly3.6,"Oakland, CA",False,3.6,$142K - $210K(Employer est.),142000.0,210000.0,176000.0,Entry,Backend,Oakland
