Job Title,Company,Location,Salary,salary_low,salary_high,salary_avg,experience_level,is_remote,clean_location,tech_keywords
Junior Software Engineer,"CommIT Enterprises, Inc","Quantico, VA",$61K - $94K (Glassdoor est.),61000.0,94000.0,77500.0,Entry,False,Quantico,Other
"Software Engineer, Referrals",Chime,"San Francisco, CA",$126K - $175K (Employer est.),126000.0,175000.0,150500.0,Entry,False,San Francisco,Other
Sr Software Engineer (BE),Ria Money Transfer,"Buena Park, CA",$120K - $150K (Employer est.),120000.0,150000.0,135000.0,Entry,False,Buena Park,Other
Software Engineer - Data APIs,EnergyCAP,"Boalsburg, PA",$63K - $103K (Glassdoor est.),63000.0,103000.0,83000.0,Entry,False,Boalsburg,Data
"Software Engineer, Cybersecurity - Remote",Optum,"Eden Prairie, MN",$72K - $141K (Employer est.),72000.0,141000.0,106500.0,Entry,False,Eden Prairie,Other
Software Engineer,Uber,"Seattle, WA",$167K - $186K (Employer est.),167000.0,186000.0,176500.0,Entry,False,Seattle,Other
Mobius Software Engineer I,Autonomous Solutions,"Mendon, UT",$69K - $100K (Glassdoor est.),69000.0,100000.0,84500.0,Entry,False,Mendon,Other
Junior Software Engineer,"Revenova, LLC","Chicago, IL",$70K - $75K (Employer est.),70000.0,75000.0,72500.0,Entry,False,Chicago,Other
Software Engineer 1,US Venture,"Green Bay, WI",$77K - $100K (Glassdoor est.),77000.0,100000.0,88500.0,Entry,False,Green Bay,Other
"Sr. Software Engineer, Backend",Poshmark,"Redwood City, CA",$134K - $190K (Employer est.),134000.0,190000.0,162000.0,Senior,False,Redwood City,Backend
Engenheiro de Software,benup,Remote,$25.73 - $30.99 Per Hour (Employer est.),53518.4,64459.2,58988.8,Entry,True,Remote,Other
Entry Level Software Engineer,Barry Wehmiller Companies Inc,"Los Angeles, CA",$75K - $85K (Employer est.),75000.0,85000.0,80000.0,Entry,False,Los Angeles,Other
Software Engineer,Ramp Financial,"New York, NY",$155K - $213K (Employer est.),155000.0,213000.0,184000.0,Entry,False,New York,Other
Software Engineer (Remote),Patterson,"Saint Paul, MN",$83K - $110K (Employer est.),83000.0,110000.0,96500.0,Entry,False,Saint Paul,Other
Software Engineer I,"LOG-NET, Inc.","Tinton Falls, NJ",$88K - $111K (Glassdoor est.),88000.0,111000.0,99500.0,Entry,False,Tinton Falls,Other
Embedded Software Engineer,TMP Worldwide India Private Limited for ERS US,"Alameda, CA",$54K - $88K (Employer est.),54000.0,88000.0,71000.0,Entry,False,Alameda,Other
Python Software Engineer,AfterQuery,Remote,$30.00 - $60.00 Per Hour (Employer est.),62400.0,124800.0,93600.0,Entry,True,Remote,Python
"Software Engineer (Java, Pyton)",Brillius,"Dallas, TX",$60.00 - $65.00 Per Hour (Employer est.),124800.0,135200.0,130000.0,Entry,False,Dallas,Java
Software Engineer,Category Labs,United States,$200K (Employer est.),200000.0,200000.0,200000.0,Entry,False,Remote,Other
Software Engineer,Boeing Intelligence & Analytics,Remote,$122K - $145K (Employer est.),122000.0,145000.0,133500.0,Entry,True,Remote,Other
Software Engineer I,Raytheon,"Tucson, AZ",$55K - $107K (Employer est.),55000.0,107000.0,81000.0,Entry,False,Tucson,Other
"Software Engineer - Console and PC Games, C++ (Shiver)",Nintendo,"Miami, FL",$45K - $85K (Glassdoor est.),45000.0,85000.0,65000.0,Entry,False,Miami,C++
Junior Software Engineer,"CommIT Enterprises, Inc","Quantico, VA",$61K - $94K (Glassdoor est.),61000.0,94000.0,77500.0,Entry,False,Quantico,Other
"Software Engineer, Referrals",Chime,"San Francisco, CA",$126K - $175K (Employer est.),126000.0,175000.0,150500.0,Entry,False,San Francisco,Other
Sr Software Engineer (BE),Ria Money Transfer,"Buena Park, CA",$120K - $150K (Employer est.),120000.0,150000.0,135000.0,Entry,False,Buena Park,Other
Software Engineer - Data APIs,EnergyCAP,"Boalsburg, PA",$63K - $103K (Glassdoor est.),63000.0,103000.0,83000.0,Entry,False,Boalsburg,Data
"Software Engineer, Cybersecurity - Remote",Optum,"Eden Prairie, MN",$72K - $141K (Employer est.),72000.0,141000.0,106500.0,Entry,False,Eden Prairie,Other
